fcatID,fcatName
1,Green Beans
2,Broccoli
3,Peas
4,Green Pepper
5,Romaine Lettuce
6,Spinach
7,Winter Squash
8,Carrots
9,Sweet Potatoes
10,Potatoes
12,Mixed Vegetables
13,Cabbage
14,Iceberg Lettuce
15,Cucumber
16,Celery
17,Mushrooms
18,Onions
19,Tomatoes
20,Apples
21,Bananas
22,Grapes
23,Oranges
24,Pears
25,Strawberries
26,Peaches
27,Cantaloupe
28,Fortified Soy Beverage
29,Tofu
30,Hummus
35,Sunflower Seeds
36,Peanuts
39,Pink Salmon
40,White Fish
41,Eggs
42,Chicken Legs
43,Ground Turkey
44,Pork Chops
45,Inside Round Roast
46,Mozzarella Cheese
47,Milk
54,Margarine
