storeID,storeName,storeAddress,companyID,storeCity,storePostalCode,storeLat,storeLong
1,CARLTON STREET,60 Carlton St,2,Toronto,M5B 1L1,43.66205,-79.38003
2,LOWER JARVIS STREET,10 Lower Jarvis St,2,Toronto,M5E 1Z2,43.6445447,-79.37008
3,QUEEN STREET WEST,585 Queen St W,2,Toronto,M5V 2B7,43.64756,-79.40159
4,LOBLAWS TORONTO LAKESHORE,15A Bathurst Street Unit 3,2,Toronto ,M5V 0R9,43.6368998,-79.3725462
5,BROADVIEW AVENUE,720 Broadview Ave,2,Toronto,M4K 2P1,43.6751826,79.3610109
6,DUPONT STREET,650 Dupont St,2,Toronto ,M6G 4B1,43.6721821,79.423204
7,ST CLAIR AVENUE EAST,12 St Clair Ave E,2,Toronto ,M4T 1L7,43.6884238,79.3983809
8,ST. CLAIR AVENUE WEST,396 St Clair Ave W,2,Toronto ,M5P 3N3,43.6841516,-79.4179143
9,LESLIE STREET,17 Leslie St,2,Toronto ,M4M 3H9,43.6608708,-79.3309946
10,MOORE AVENUE,301 Moore Ave,2,Toronto ,M4G 1E1,43.696473,-79.373152
11,DUNDAS & BLOOR,2280 Dundas St W,2,Toronto ,M6R 1X3,43.655066,-79.4519552
12,REDWAY ROAD,11 Redway Rd,2,Toronto,M4H 1P6,43.699101,-79.3622981
13,EGLINTON AVENUE,1-101 Eglinton Ave E,2,Toronto ,M4P 1H4,43.7072478,-79.3972759
14,MUSGRAVE STREET,50 Musgrave St,2,Toronto ,M4E 3W2,43.6884777,-79.2908329
15,HUMBERCREST MARKET,3671 Dundas St W,2,Toronto ,M6S 2T3,43.665455,-79.4983586
16,YORK MILLS,3501 Yonge St,2,North York ,M4N 2N5,43.7354353,-79.4067178
17,THE KINGSWAY,270 The Kingsway,2,Etobicoke ,M9A 3T7,43.6615174,-79.5223445
18,BAYVIEW AVENUE,2877 Bayview Village,2,Toronto ,M2K 2S3,43.7671916,-79.3904372
